day,site,waterLevel
2017-10-13,GR Wetland Well Shallow,-0.16840196429166668
2017-10-13,ND Upland Well 1,0.06906832212690985
2017-10-13,ND Wetland Well Shallow,0.2051843810598919
2017-10-13,QB Upland Well 1,0.29203829117129215
2017-10-13,TB Upland Well 2,0.09473035234383248
2017-10-13,TB Upland Well 3,0.20205617937510906
2017-10-13,TB Wetland Well Shallow,0.17319386082587485
2017-10-14,BB Wetland Well Shallow,-0.05047034693466226
2017-10-14,DB Wetland Well Shallow,0.19698688356901112
2017-10-14,DF Wetland Well Shallow,0.3365261395513717
2017-10-14,DK Upland Well 1,-0.23074405549062976
2017-10-14,DK Wetland Well Shallow,-0.050866859569877444
2017-10-14,GR Wetland Well Shallow,-0.21505295316666667
2017-10-14,ND Upland Well 1,0.06959556521089777
2017-10-14,ND Wetland Well Shallow,0.1937017219995668
2017-10-14,QB Upland Well 1,0.2840148905831892
2017-10-14,TB Upland Well 2,0.09222618625572933
2017-10-14,TB Upland Well 3,0.19379590632867266
2017-10-14,TB Wetland Well Shallow,0.1616818140016606
2017-10-15,BB Wetland Well Shallow,-0.054667171414481075
2017-10-15,DB Wetland Well Shallow,0.18272478201186293
2017-10-15,DF Wetland Well Shallow,0.33104212766089
2017-10-15,DK Upland Well 1,-0.229836968928782
2017-10-15,DK Wetland Well Shallow,-0.06249751701591479
2017-10-15,GR Wetland Well Shallow,-0.24416489958333332
2017-10-15,ND Upland Well 1,0.06683697081441226
2017-10-15,ND Wetland Well Shallow,0.18200272915075175
2017-10-15,QB Upland Well 1,0.27696341326215196
2017-10-15,TB Upland Well 2,0.08976451114302547
2017-10-15,TB Upland Well 3,0.18766713397985768
2017-10-15,TB Wetland Well Shallow,0.1520134094167345
2017-10-16,BB Wetland Well Shallow,-0.049398869393266216
2017-10-16,DB Wetland Well Shallow,0.1840994810125567
2017-10-16,DF Wetland Well Shallow,0.32905812391158384
2017-10-16,DK Upland Well 1,-0.24213228169923356
2017-10-16,DK Wetland Well Shallow,-0.048498117904109864
2017-10-16,GR Wetland Well Shallow,-0.23274658104166668
2017-10-16,ND Upland Well 1,0.06515418150229395
2017-10-16,ND Wetland Well Shallow,0.18554893605422346
2017-10-16,QB Upland Well 1,0.2754574032628458
2017-10-16,TB Upland Well 2,0.08097210604649696
2017-10-16,TB Upland Well 3,0.17197603982777368
2017-10-16,TB Wetland Well Shallow,0.1461643836118727
2017-10-17,BB Wetland Well Shallow,-0.07117682479670637
2017-10-17,DB Wetland Well Shallow,0.17561707468866772
2017-10-17,DF Wetland Well Shallow,0.32372020832380594
2017-10-17,DK Upland Well 1,-0.2641874734776739
2017-10-17,DK Wetland Well Shallow,-0.06427824954744328
2017-10-17,GR Wetland Well Shallow,-0.2893866715
2017-10-17,ND Upland Well 1,0.03935682976552058
2017-10-17,ND Wetland Well Shallow,0.1758984546331121
2017-10-17,QB Upland Well 1,0.2614260206056233
2017-10-17,TB Upland Well 2,0.06052958795871917
2017-10-17,TB Upland Well 3,0.14182954047610696
2017-10-17,TB Wetland Well Shallow,0.13424219263520595
2017-10-18,BB Wetland Well Shallow,-0.0980057228955111
2017-10-18,DB Wetland Well Shallow,0.15772915998120188
2017-10-18,DF Wetland Well Shallow,0.3177254862552291
2017-10-18,DK Upland Well 1,-0.26897129982647855
2017-10-18,DK Wetland Well Shallow,-0.09538074406046464
2017-10-18,GR Wetland Well Shallow,-0.350456470375
2017-10-18,ND Upland Well 1,0.029609303875048957
2017-10-18,ND Wetland Well Shallow,0.16371530681453528
2017-10-18,QB Upland Well 1,0.24987842743982416
2017-10-18,TB Upland Well 2,0.05291995515403117
2017-10-18,TB Upland Well 3,0.12585607925475203
2017-10-18,TB Wetland Well Shallow,0.11941485420551794
2017-10-19,BB Wetland Well Shallow,-0.12109884762519463
2017-10-19,DB Wetland Well Shallow,0.1387025762663292
2017-10-19,DF Wetland Well Shallow,0.31138025376257855
2017-10-19,DK Upland Well 1,-0.27343329038949543
2017-10-19,DK Wetland Well Shallow,-0.10959446181700404
2017-10-19,GR Wetland Well Shallow,-0.40042471179166667
2017-10-19,ND Upland Well 1,0.023728202978698813
2017-10-19,ND Wetland Well Shallow,0.15167592951632913
2017-10-19,QB Upland Well 1,0.23851213615550715
2017-10-19,TB Upland Well 2,0.04432071657804725
2017-10-19,TB Upland Well 3,0.1111633055398794
2017-10-19,TB Wetland Well Shallow,0.10479926762953402
2017-10-20,BB Wetland Well Shallow,-0.13945130676004935
2017-10-20,DB Wetland Well Shallow,0.12621924507572088
2017-10-20,DF Wetland Well Shallow,0.3055789581156809
2017-10-20,DK Upland Well 1,-0.2828812638001385
2017-10-20,DK Wetland Well Shallow,-0.11717073328528495
2017-10-20,GR Wetland Well Shallow,-0.446282817875
2017-10-20,ND Upland Well 1,0.019888541739247284
2017-10-20,ND Wetland Well Shallow,0.14537921790293346
2017-10-20,QB Upland Well 1,0.23141777889749846
2017-10-20,TB Upland Well 2,0.035275757553568356
2017-10-20,TB Upland Well 3,0.09573788059125275
2017-10-20,TB Wetland Well Shallow,0.09057994503681242
2017-10-21,BB Wetland Well Shallow,-0.15555048672620408
2017-10-21,DB Wetland Well Shallow,0.11054061619046254
2017-10-21,DF Wetland Well Shallow,0.29834272407560086
2017-10-21,DK Upland Well 1,-0.29647256315717163
2017-10-21,DK Wetland Well Shallow,-0.10918514214287076
2017-10-21,GR Wetland Well Shallow,-0.4905404955
2017-10-21,ND Upland Well 1,0.008618669488800381
2017-10-21,ND Wetland Well Shallow,0.13467459239879595
2017-10-21,QB Upland Well 1,0.21861167842686266
2017-10-21,TB Upland Well 2,0.0210466851827362
2017-10-21,TB Upland Well 3,0.07426716040845738
2017-10-21,TB Wetland Well Shallow,0.0723204928870009
2017-10-22,BB Wetland Well Shallow,-0.17400035433052408
2017-10-22,DB Wetland Well Shallow,0.09245083721114257
2017-10-22,DF Wetland Well Shallow,0.2906466536379475
2017-10-22,DK Upland Well 1,-0.3078520180253804
2017-10-22,DK Wetland Well Shallow,-0.13241388503885726
2017-10-22,GR Wetland Well Shallow,-0.5296766465416667
2017-10-22,ND Upland Well 1,-0.00625368044885296
2017-10-22,ND Wetland Well Shallow,0.11910472565558707
2017-10-22,QB Upland Well 1,0.20341960378087595
2017-10-22,TB Upland Well 2,0.007634163564527406
2017-10-22,TB Upland Well 3,0.05489706631802633
2017-10-22,TB Wetland Well Shallow,0.054245938893791916
2017-10-23,BB Wetland Well Shallow,-0.184799308508578
2017-10-23,DB Wetland Well Shallow,0.07301577521364422
2017-10-23,DF Wetland Well Shallow,0.28203337014044916
2017-10-23,DK Upland Well 1,-0.31128632775898996
2017-10-23,DK Wetland Well Shallow,-0.14858513489746672
2017-10-23,GR Wetland Well Shallow,-0.5587063514166667
2017-10-23,ND Upland Well 1,-0.015029835890795653
2017-10-23,ND Wetland Well Shallow,0.09982474607475535
2017-10-23,QB Upland Well 1,0.18974489757504434
2017-10-23,TB Upland Well 2,-0.0016879669607487635
